Title,HoursPlayed,Release,Aquired,Beta,Type,Finished,Replayed,Progress,AchUnlocked,AchTotal,Mode,Platform,App,Payment,Digital,Discount,PreOrder
Heroes of the Storm,60,2015,30-08-2015,Release,MOBA,0,0,20,0,0,Multiplayer,PC,Battle.net,Free to Play,1,0,0
Overwatch,20,2016,24-05-2016,Beta,FPS,0,0,5,0,0,Multiplayer,PC,Battle.net,Purchased,1,0,1
Dragon Age: Origins,400,2009,26-12-2009,Release,RPG,1,1,90,0,0,Singleplayer,PC,Origin,Purchased,1,1,0
Dragon Age II,60,2011,30-12-2013,Release,RPG,1,0,70,0,0,Singleplayer,PC,Origin,Purchased,1,1,0
Dragon Age: Inquisition,60,2014,18-11-2014,Release,RPG,0,0,30,0,0,Singleplayer,PC,Origin,Purchased,1,0,1
Watchdogs,45,2014,02-01-2016,Release,Action Adventure,0,0,35,0,0,Both,PS3,Console,Purchased,0,1,0
Heavy Rain,80,2010,01-06-2014,Release,Interactive Drama,1,1,85,0,0,Singleplayer,PS3,Console,Borrowed,0,0,0
L.A Noire,50,2011,01-06-2014,Release,Action Adventure,1,0,85,0,0,Singleplayer,PS3,Console,Borrowed,0,0,0
Adventure Time: Explore this Dungeon Because I Don't Know,4,2013,02-01-2016,Release,Dungeon Crawler,0,0,10,0,0,Both,PS3,Console,Purchased,0,1,0
Grand Theft Auto V,80,2013,01-06-2014,Release,Action Adventure,1,0,70,0,0,Both,PS3,Console,Borrowed,0,0,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
